UMAP_1,UMAP_2,kmeans_cluster
18.680746,4.623414,16
9.385518,-6.3332486,14
-0.22066031,3.5555654,10
6.533135,-8.44823,6
10.617086,-0.4277905,13
6.806782,-9.153283,6
10.898531,-0.59212375,13
7.358757,-3.2571685,4
6.511892,-9.3775425,6
9.356863,-6.3956842,14
6.4591136,-8.9247465,6
6.4915333,-9.542055,6
18.631382,5.725956,16
18.706745,3.517176,16
5.64847,8.801601,15
7.527173,0.39193234,9
9.306173,-6.323145,14
9.413635,-6.3246884,14
10.999119,-0.10825677,13
6.1563816,-2.9144874,4
7.3560443,-3.2758207,4
9.271569,-6.231908,14
11.100986,-0.37929377,13
6.3873935,-9.1167965,6
17.715527,4.4357653,16
1.0292848,3.6767235,10
9.852367,-1.1609555,13
7.7384796,-3.7981284,4
3.8029115,-5.0981336,0
11.177752,-0.50605327,13
3.9565175,-4.9900103,0
18.96553,3.1580622,16
9.409996,-6.06049,14
6.213519,-9.356723,6
9.458559,-6.3073373,14
6.396719,-9.323858,6
6.76538,7.309801,7
6.9010053,-7.31851,6
0.9343237,3.853487,10
9.781118,-1.127417,13
9.40338,-6.306162,14
7.380308,-3.2722802,4
10.920016,-0.648512,13
6.9192123,-7.3266206,6
6.9684978,-7.307635,6
9.475802,-6.0632806,14
9.346553,-6.3661995,14
9.54514,-6.1681757,14
18.696095,4.663097,16
10.985472,-0.3531629,13
7.47382,0.38796666,9
